year,state,genre,event_count
2023,CO,#chicagolivemusic,1
2023,CO,country,1
2023,CO,deep house,1
2023,CO,downtempo,1
2023,CO,dubstep,2
2023,CO,edm,2
2023,CO,electronic,4
2023,CO,folk,1
2023,CO,gothic country,1
2023,CO,hip hop,1
2023,CO,house,1
2023,CO,punk,1
2023,CO,rock,1
2023,CO,unknown,2
2023,CT,alternative rock,1
2023,CT,contemporary r&b,3
2023,CT,doom metal,1
2023,CT,experimental,1
2023,CT,folk,2
2023,CT,hard rock,2
2023,CT,pop,1
2023,CT,punk,2
2023,CT,rock,1
2023,CT,singer-songwriter,2
2023,CT,stoner rock,1
2023,CT,unknown,3
2023,DE,boom bap,1
2023,DE,contemporary country,1
2023,DE,contemporary r&b,1
2023,DE,dream pop,1
2023,DE,electronic,2
2023,DE,emo,1
2023,DE,folk,2
2023,DE,folk punk,1
2023,DE,folk rock,1
2023,DE,indie pop,1
2023,DE,jazz,1
2023,DE,metal,1
2023,DE,rock,3
2023,DE,singer-songwriter,1
2023,DE,trance,1
2023,DE,tribute band,1
2023,FL,americana,2
2023,FL,country blues,1
2023,FL,country rock,1
2023,FL,dance-pop,1
2023,FL,edm,3
2023,FL,electro-funk,1
2023,FL,hip hop,4
2023,FL,house,1
2023,FL,pop rock,1
2023,FL,rock,1
2023,FL,unknown,4
2023,GA,alternative rock,2
2023,GA,country,1
2023,GA,electronic,2
2023,GA,funk,1
2023,GA,funk rock,1
2023,GA,hardcore,1
2023,GA,house,1
2023,GA,indie rock,1
2023,GA,jam band,3
2023,GA,noise rock,1
2023,GA,post-hardcore,1
2023,GA,psychedelic,1
2023,GA,rock,1
2023,GA,southern rock,2
2023,GA,surf rock,1
2023,HI,contemporary gospel,3
2023,HI,dream pop,1
2023,HI,folk,1
2023,HI,pop,4
2023,HI,reggae rock,6
2023,HI,unknown,5
2023,IA,alternative metal,1
2023,IA,american,1
2023,IA,big band,1
2023,IA,breaks,2
2023,IA,contemporary christian,3
2023,IA,country,2
2023,IA,hard rock,1
2023,IA,new age,2
2023,IA,new wave,1
2023,IA,pop punk,1
2023,IA,post-hardcore,1
2023,IA,punk,1
2023,IA,rock and roll,1
2023,IA,saturday night live,1
2023,IA,unknown,1
2023,ID,alternative pop,1
2023,ID,alternative rock,1
2023,ID,american primitive guitar,1
2023,ID,country,2
2023,ID,death metal,2
2023,ID,deathgrind,1
2023,ID,doom metal,1
2023,ID,electronic,1
2023,ID,experimental,1
2023,ID,folk,1
2023,ID,funk,1
2023,ID,hard rock,1
2023,ID,indie,1
2023,ID,indie folk,1
2023,ID,piano rock,1
2023,ID,pop,1
2023,ID,rock,2
2023,IL,alternative rock,5
2023,IL,bluegrass,1
2023,IL,chicago blues,1
2023,IL,classical crossover,1
2023,IL,comedy,1
2023,IL,dark wave,1
2023,IL,electronic,1
2023,IL,hardcore,2
2023,IL,hip hop,1
2023,IL,indie pop,1
2023,IL,indie rock,2
2023,IL,jam band,1
2023,IL,pop punk,1
2023,IL,unknown,1
2023,IN,a cappella,2
2023,IN,alternative punk,1
2023,IN,alternative rock,2
2023,IN,country,1
2023,IN,funk,1
2023,IN,house,1
2023,IN,indie rock,1
2023,IN,progressive house,1
2023,IN,punk,1
2023,IN,rap,1
2023,IN,reggae,1
2023,IN,rock,1
2023,IN,symphonic metal,2
2023,IN,unknown,4
2023,KS,alternative country,1
2023,KS,alternative metal,1
2023,KS,alternative rock,1
2023,KS,christian rock,1
2023,KS,comedy,1
2023,KS,contemporary country,1
2023,KS,folk pop,1
2023,KS,folk punk,1
2023,KS,hard rock,1
2023,KS,hardcore,1
2023,KS,indie,1
2023,KS,indie rock,1
2023,KS,pop,2
2023,KS,pop punk,1
2023,KS,punk,1
2023,KS,soft rock,1
2023,KS,symphonic metal,1
2023,KS,unknown,2
2023,KY,alternative rock,1
2023,KY,american,1
2023,KY,americana,2
2023,KY,audiobook,1
2023,KY,crossover thrash,1
2023,KY,folk,2
2023,KY,jam band,1
2023,KY,metal,1
2023,KY,punk,2
2023,KY,rock,1
2023,KY,soft rock,1
2023,KY,techno,1
2023,KY,unknown,5
2023,LA,alternative dance,1
2023,LA,alternative rock,1
2023,LA,americana,1
2023,LA,bayou funk,1
2023,LA,bluegrass,2
2023,LA,funk,1
2023,LA,hip hop,1
2023,LA,indie rock,1
2023,LA,jazz-funk,1
2023,LA,metalcore,2
2023,LA,progressive bluegrass,2
2023,LA,punk,1
2023,LA,unknown,5
2023,MA,alternative pop,1
2023,MA,alternative rock,1
2023,MA,breakcore,1
2023,MA,country blues,1
2023,MA,electronic,2
2023,MA,folk,1
2023,MA,funk,2
2023,MA,garage rock,1
2023,MA,indie pop,1
2023,MA,indie rock,1
2023,MA,pop,1
2023,MA,rnb/swing,1
2023,MA,rock,2
2023,MA,rock music,1
2023,MA,unknown,3
2023,MD,alternative rock,1
2023,MD,ballad,1
2023,MD,bluegrass,2
2023,MD,classical music,1
2023,MD,contemporary christian music,1
2023,MD,contemporary country,1
2023,MD,country rock,1
2023,MD,electronic,1
2023,MD,emo,1
2023,MD,folk,1
2023,MD,hard rock,1
2023,MD,indie rock,1
2023,MD,installation art,1
2023,MD,metal,1
2023,MD,pop punk,1
2023,MD,rock,1
2023,MD,unknown,2
2023,MD,vocal jazz,1
2023,ME,emo,1
2023,ME,folk,3
2023,ME,folk rock,1
2023,ME,"folk, world, & country",1
2023,ME,funk,1
2023,ME,hard rock,2
2023,ME,hip-hop,1
2023,ME,indie pop,1
2023,ME,metal,1
2023,ME,noise rock,1
2023,ME,psychedelic,1
2023,ME,punk,2
2023,ME,rap,1
2023,ME,swing,1
2023,ME,unknown,2
2023,MI,blues rock,1
2023,MI,classical,2
2023,MI,comedy,2
2023,MI,country,1
2023,MI,country music,1
2023,MI,electronic,2
2023,MI,hard rock,1
2023,MI,hardcore punk,1
2023,MI,jazz,1
2023,MI,progressive bluegrass,2
2023,MI,rock,1
2023,MI,ska,2
