year,state,genre,genre_detailed,event_count
2022,VA,Punk/Hardcore,punk,1
2022,VA,Rock,alternative rock,1
2022,VA,Rock,indie rock,1
2022,VA,Rock,jam band,3
2022,VA,Rock,psychedelic,1
2022,VA,Unknown,unknown,3
2022,VT,Country/Folk/Americana,folk,1
2022,VT,Country/Folk/Americana,singer-songwriter,1
2022,VT,Electronic/Dance,disco,3
2022,VT,Electronic/Dance,new wave,2
2022,VT,Metal,black metal,1
2022,VT,Pop,indie pop,1
2022,VT,Punk/Hardcore,emo,1
2022,VT,Reggae/Ska,reggae,1
2022,VT,Rock,garage rock,1
2022,VT,Rock,indie,2
2022,VT,Rock,indie rock,1
2022,VT,Rock,noise rock,1
2022,VT,Rock,rock,4
2022,WA,Country/Folk/Americana,folk,2
2022,WA,Hip-Hop/Rap,crunk,1
2022,WA,Jazz/Blues,smooth jazz,5
2022,WA,Metal,doom metal,1
2022,WA,Pop,indie pop,1
2022,WA,Punk/Hardcore,hardcore punk,1
2022,WA,Punk/Hardcore,punk rock,2
2022,WA,R&B/Soul/Funk,funk,1
2022,WA,Rock,alternative rock,2
2022,WA,Rock,math rock,1
2022,WA,Rock,rock,2
2022,WA,Unknown,unknown,1
2022,WI,Country/Folk/Americana,bluegrass,1
2022,WI,Country/Folk/Americana,folk,1
2022,WI,Electronic/Dance,electronica,1
2022,WI,Electronic/Dance,new wave,1
2022,WI,Metal,heavy metal,2
2022,WI,Metal,nu metal,4
2022,WI,Pop,alternative pop,1
2022,WI,Pop,indie pop,1
2022,WI,Punk/Hardcore,emo,1
2022,WI,Punk/Hardcore,punk,1
2022,WI,Rock,alternative rock,4
2022,WI,Rock,garage rock,1
2022,WI,Rock,indie,1
2022,WV,Country/Folk/Americana,contemporary country,1
2022,WV,Country/Folk/Americana,country,2
2022,WV,Country/Folk/Americana,country music,1
2022,WV,Country/Folk/Americana,singer-songwriter,1
2022,WV,Electronic/Dance,new age,2
2022,WV,Jazz/Blues,soul-jazz,1
2022,WV,Metal,heavy metal,1
2022,WV,Metal,thrash metal,1
2022,WV,Punk/Hardcore,punk rock,1
2022,WV,Reggae/Ska,reggae,1
2022,WV,Rock,alternative rock,2
2022,WV,Rock,hard rock,2
2022,WV,Rock,rock,2
2022,WV,Unknown,unknown,2
2022,WY,Country/Folk/Americana,country,4
2022,WY,Country/Folk/Americana,country music,1
2022,WY,Country/Folk/Americana,folk rock,1
2022,WY,Electronic/Dance,new age,1
2022,WY,Hip-Hop/Rap,crunk,1
2022,WY,Hip-Hop/Rap,g-funk,1
2022,WY,Hip-Hop/Rap,hip hop,2
2022,WY,Metal,death metal,3
2022,WY,Metal,grindcore,1
2022,WY,Metal,thrash metal,1
2022,WY,Other/Uncategorized,experimental,1
2022,WY,Other/Uncategorized,vocal,1
2022,WY,Rock,alternative rock,2
2023,AK,Country/Folk/Americana,acoustic,1
2023,AK,Country/Folk/Americana,alternative country,1
2023,AK,Country/Folk/Americana,bluegrass,2
